"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-7, #0 - Half_Delay-0-20200525-21:07:17-7344)",
1,440
1.20088,679.501698754249899
1.201256,10715.45116111799868
1.413688,17633.31088613600146
1.425744,25940.14072652599852
1.62612,30157.6759402749957
1.638176,37295.1380071489983
1.650232,44328.31262513399977
1.662288,51259.46887663299255
1.838552,52902.50153381600095
1.850608,59072.47780188999585
1.862664,65162.5843415669949
1.87472,71174.36203806399105
1.886776,77109.31239320398875
1.898832,82968.89877566799955
1.910888,88754.5476239319829
1.922944,94467.6496039409828
2.050984,94448.3233413819976
2.06304,99740.1892353029976
2.075096,104970.5652172199913
2.087152,110140.5168382599948
2.099208,115251.0851711699794
2.111264,120303.2875092799945
2.12332,125298.1180415599952
2.135376,130236.5485048099941
2.147432,135119.5288139499603
2.159488,139947.9876711500106
2.171544,144722.833154660009
2.1836,149444.9532881499613
2.195656,154115.2165913099883
2.207712,158734.4726123699796
2.219768,163303.5524433199895
2.231824,167823.2692183599571
2.263416,170807.3107197299828
2.275472,175200.5737710699901
2.287528,179547.5290357099722
2.299584,183848.9048453999558
2.31164,188105.4143378699658
2.323696,192317.7558510199883
2.335752,196486.6133048399926
2.347808,200612.6565715799803
2.359864,204696.5418346099897
2.37192,208738.9119363199565
2.383976,212740.3967153999832
2.396032,216701.613334049994
2.408088,220623.1665952400065
2.420144,224505.6492506199858
2.4322,228349.64229915
2.444256,232155.7152769599915
2.456312,235924.426538650004
2.468368,239656.3235303699612
2.480424,243351.9430548999802
2.49248,247011.8115290799752
2.504536,250636.445233770005
2.516592,254226.35055663
2.528648,257782.0242279699882
2.540704,261303.9535498800095
2.55276,264792.6166188799535
2.564816,268248.4825422199202
2.576872,271672.0116482300212
2.588928,275063.6556906999315
2.600984,278423.8580475699852
2.61304,281753.0539142099437
2.625096,285051.670491289929
2.637152,288320.1271674899612
2.649208,291558.835697309928
2.661264,294768.2003739599595
2.67332,297948.618197600007
2.685376,301100.4790390599515
2.697432,304224.165799169917
2.709488,307320.0545638100002
2.721544,310388.5147548599625
2.7336,313429.909277139929
2.745656,316444.5946615299902
2.757712,319432.921204239944
2.769768,322395.2331025599257
2.781824,325331.8685869399915
2.79388,328243.1600498199687
2.805936,331129.4341709900175
2.817992,333991.0120397799175
2.830048,336828.2092741900115
2.842104,339641.3361368899925
3.04248,319315.8213036699445
3.054536,322002.4252455999367
3.066592,324667.9049576899257
3.266968,308445.0169086399245
3.279024,310987.659742660005
3.4794,296543.0821405999587
3.491456,298972.11936796992
3.691832,286010.84773088002
3.703888,288334.852457739994
3.904264,276624.736442000022
3.91632,278851.5749479099167
4.116696,268207.319656349951
4.128752,270344.1621099999167
4.329128,260615.9947222599867
4.341184,262669.354719819966
4.54156,253734.840010919957
4.553616,255710.6264559899565
4.753992,247468.6537125000027
4.766048,249372.2262134199837
4.966424,241738.5225264700125
4.97848,243574.7457055199767
5.178856,236478.4809618199937
5.190912,238251.7754105599592
5.391288,231632.9604354299945
5.403344,233347.3493451499955
5.60372,227154.8185847999988
5.615776,228813.9697879700097
5.816152,223003.8004508799635
5.828208,224611.0639839899952
6.028584,219145.3250050100027
6.04064,220703.7664883199608
6.241016,215549.5195013099578
6.253072,217061.9497104799952
6.453448,212190.4445499500137
6.465504,213659.445574540004
6.66588,209045.4673651499901
6.677936,210473.4157380399987
6.878312,206094.7511540600096
6.890368,207483.8383087799878
7.090744,203320.8362902399962
7.1028,204673.0866700499895
7.303176,200708.2945830699751
7.315232,202025.5816903699883
7.515608,198243.4421805900053
7.527664,199527.502821589994
7.72804,195914.0998234999707
7.740096,197166.5467715099797
7.940472,193709.3915827699815
7.952528,194931.7248552899687
8.152904,191619.5750618400047
8.16496,192813.191981340001
8.365336,189635.8974702300032
8.377392,190802.1016564599697
8.389448,191964.9540708799608
8.577768,189155.9669135399738
8.589824,190294.0036955400132
8.60188,191428.8504373499885
8.613936,192560.5205332399922
8.625992,193689.0273025999772
8.638048,194814.3839904599585
8.7902,192813.8153853199902
8.802256,193919.3770324299688
8.814312,195021.9143592799658
8.826368,196121.4397586899571
8.838424,197217.9655558500085
8.85048,198311.504008819989
8.862536,199402.0673089500043
8.874592,200489.6675813400065
8.886648,201574.3168852899682
8.898704,202656.0272147500066
8.91076,203734.8104987699766
8.922816,204810.6786019100103
9.002632,204334.0214284000097
9.014688,205398.1235956299926
9.026744,206459.3833612700102
9.0388,207517.8120989499726
9.050856,208573.4211217099797
9.062912,209626.2216823899647
9.074968,210676.2249740199762
9.087024,211723.442130229959
9.09908,212767.8842256600033
9.111136,213809.5622763200072
9.123192,214848.4872399899753
9.135248,215884.6700166199585
9.147304,216918.121448680001
9.15936,217948.8523215599702
9.171416,218976.8733639399863
9.183472,220002.1952481599866
9.195528,221024.8285905899821
9.207584,222044.78395200998
9.21964,223062.0718379499731
9.231696,224076.7026990499575
9.243752,225088.6869314499776
9.255808,226098.0348771300047
9.267864,227104.7568242299597
9.27992,228108.8630074399983
9.291976,229110.3636083399753
9.304032,230109.2687557399613
9.316088,231105.588525999977
9.328144,232099.3329433999602
9.3402,233090.511980469978
9.352256,234079.135558309964
9.364312,235065.2135469199852
9.376368,236048.755765559966
9.388424,237029.7719830299602
9.40048,238008.2719180299895
9.412536,238984.2652394599857
9.424592,239957.7615667599595
9.436648,240928.7704701899777
9.448704,241897.3014711900025
9.46076,242863.3640426399647
9.472816,243826.9676092099972
9.484872,244788.121547659975
9.496928,245746.8351871299667
9.508984,246703.117809429997
9.52104,247656.9786493899877
9.533096,248608.4268950999822
9.545152,249557.4716882499627
9.557208,250504.122124370012
9.624968,249782.8564209300087
9.637024,250721.3845270099695
9.64908,251657.5673535699602
9.661136,252591.4136805399895
9.673192,253522.9322440800017
9.685248,254452.1317368400047
9.697304,255379.0208082599562
9.70936,256303.608064799976
9.721416,257225.9020702299887
9.733472,258145.911345920001
9.745528,259063.64437103999
9.757584,259979.109582859964
9.76964,260892.315377029997
9.781696,261803.270107759977
9.873568,260588.2696103400077
9.885624,261490.018232539994
9.89768,262389.5700810699485
9.909736,263286.9331736000015
9.921792,264182.1154888099985
9.933848,265075.1249666799552
9.945904,265965.9695086500135
9.95796,266854.656977940001
9.970016,267741.1951996899437
9.982072,268625.5919612699647
9.994128,269507.8550124599125
10.006184,270387.992065710015
10.086,269443.5851675600275
10.098056,270315.7914751099882
10.110112,271185.9176238599462
10.122168,272053.9710465199307
10.134224,272919.959140429971
10.14628,273783.8892677900145
10.158336,274645.7687558300087
10.170392,275505.6048970399417
10.182448,276363.4049493799675
10.194504,277219.1761364799452
10.20656,278072.9256478199962
10.218616,278924.6606389799845
10.230672,279774.388231779914
10.242728,280622.1155145399962
10.298432,280274.9001012999792
10.310488,281116.47091776994
10.322544,281956.075944070005
10.3346,282793.722059879917
10.346656,283629.4161128000115
10.358712,284463.1649185699637
10.370768,285294.9752612300212
10.382824,286124.8538933099472
10.39488,286952.8075360199427
10.406936,287778.8428794000052
10.418992,288602.9665825599795
10.431048,289425.18527380994
10.443104,290245.5055508399377
10.45516,291063.933980920002
10.467216,291880.4771010699905
10.510864,291815.4016644100187
10.52292,292626.7613932299417
10.534976,293436.264116789912
10.547032,294243.9162031599545
10.559088,295049.7239913099905
10.571144,295853.6937913199645
10.5832,296655.8318844999875
10.595256,297456.1445235499405
10.607312,298254.637932779965
10.619368,299051.31830821
10.631424,299846.1918177700127
10.64348,300639.2646014299237
10.655536,301430.542771379928
10.667592,302220.03241218999
10.679648,303007.7395809299767
10.691704,303793.6703073700187
10.723296,304022.9421998600002
10.735352,304804.537382659967
10.747408,305584.3790428399795
10.759464,306362.4730748699502
10.77152,307138.8253468399627
10.783576,307913.4417005999705
10.795632,308686.3279518999617
10.807688,309457.4898905300062
10.819744,310226.933280489989
10.8318,310994.663860119995
10.843856,311760.6873422099732
10.855912,312525.009414230007
10.867968,313287.6357383499845
10.880024,314048.5719516800007
10.89208,314807.823666370007
10.904136,315565.3964697399632
10.916192,316321.2959244400257
10.935728,316858.6490080999202
10.947784,317610.942999969934
10.95984,318361.5819208999157
10.971896,319110.571226709987
10.983952,319857.9163492299842
10.996008,320603.6226965299565
11.008064,321347.6956529299487
11.02012,322090.1405792299182
11.032176,322830.9628127799362
11.044232,323570.167667609988
11.056288,324307.7604346099532
11.068344,325043.746381570002
11.0804,325778.13075339992
11.092456,326510.9187721799815
11.104512,327242.1156373199767
11.116568,327971.726525669917
11.128624,328699.756591649958
11.14068,329426.210967369959
11.152736,330151.0947627599805
11.164792,330874.413065640022
11.176848,331596.1709419299142
11.188904,332316.373435679939
11.20096,333035.0255692399795
11.213016,333752.1323433399657
11.225072,334467.6987372599532
11.237128,335181.7297088699405
11.249184,335894.2301948299855
11.26124,336605.2051106300195
11.273296,337314.6593507300125
11.285352,338022.5977887099132
11.297408,338729.025277299922
11.309464,339433.9466485800217
11.32152,340137.3667140100142
11.333576,340839.290264609967
11.345632,341539.7220710099202
11.357688,342238.6668836099552
11.369744,342936.1294326399212
11.3818,343632.114428299944
11.393856,344326.62656083994
11.405912,345019.6705007000117
11.417968,345711.2508985799492
11.430024,346401.3723855699637
11.44208,347090.0395732199532
11.454136,347777.2570536999255
11.466192,348463.0293998200205
11.478248,349147.361165219917
11.490304,349830.2568844099282
11.50236,350511.7210728899802
11.514416,351191.7582272499557
11.526472,351870.3728252699355
11.538528,352547.5693259999377
11.550584,353223.3521698999675
11.56264,353897.7257788899577
11.574696,354570.6945564700282
11.586752,355242.2628878200182
11.598808,355912.4351398899442
11.610864,356581.2156614699627
11.62292,357248.6087833299525
11.634976,357914.6188182899487
11.647032,358579.2500613
11.659088,359242.5067895499515
11.671144,359904.3932625600127
11.6832,360564.9137222699342
11.695256,361224.0723931100207
11.707312,361881.873482150025
11.719368,362538.3211790899502
11.731424,363193.4196564699515
11.74348,363847.173069649957
11.755536,364499.5855569699767
11.767592,365150.6612397800192
11.779648,365800.404222599928
11.791704,366448.8185931399925
11.80376,367095.9084224000095
11.815816,367741.6777647900145
11.827872,368386.130658159963
11.839928,369029.2711239500192
11.851984,369671.1031671999942
11.86404,370311.6307766999802
11.876096,370950.8579250299365
11.888152,371588.7885686500217
11.900208,372225.4266480000217
11.912264,372860.7760875700032
11.92432,373494.840795949915
11.936376,374127.624665979993
11.948432,374759.1315747499462
11.960488,375389.3653837499437
11.972544,376018.329938899957
11.9846,376646.029070639982
11.996656,377272.4665940200195
12.008712,377897.6463087799487
12.020768,378521.5719993900265
12.032824,379144.2474351800037
12.04488,379765.6763703699677
12.056936,380385.8625441800095
12.068992,381004.809680869918
12.081048,381622.5214898600232
12.093104,382239.0016657399232
12.10516,382854.2538884199445
12.117216,383468.2818231499975
12.129272,384081.0891206000217
12.141328,384692.6794169499757
12.153384,385303.0563339400095
12.16544,385912.2234789700002
12.177496,386520.1844451399507
12.189552,387126.9428113499877
12.201608,387732.5021423399442
12.213664,388336.8659887799282
12.22572,388940.0378873399445
12.237776,389542.0213607399477
12.249832,390142.8199178599742
12.261888,390742.437053740024
12.273944,391340.8762497199925
12.286,391938.14097346994
12.298056,392534.2346790399157
12.310112,393129.1608069899945
12.322168,393722.9227843700195
12.334224,394315.5240248600007
12.34628,394906.9679287999157
12.358336,395497.2578832600255
12.370392,396086.3972621100242
12.382448,396674.3894260699155
12.394504,397261.2377227799725
12.40656,397846.94548689993
12.418616,398431.5160401099117
12.430672,399014.952691209967
12.442728,399597.2587361899195
12.454784,400178.4374582499725
12.46684,400758.4921279199177
12.478896,401337.426003069965
12.490952,401915.242329009924
12.503008,402491.9443385099282
12.515064,403067.535251919994
12.52712,403642.0182771499955
12.539176,404215.396609789924
12.551232,404787.6734331699545
12.563288,405358.851918380008
12.575344,405928.9352243599705
12.5874,406497.9264979299617
12.599456,407065.828873879974
12.611512,407632.6454750199327
12.623568,408198.3794122199752
12.635624,408763.0337844799492
12.64768,409326.6116789799405
12.659736,409889.11617113999
12.671792,410450.5503246899452
12.683848,411010.9171916899492
12.695904,411570.2198126299757
12.70796,412128.4612164299457
12.720016,412685.6444205699945
12.732072,413241.7724310699842
12.744128,413796.8482425799587
12.756184,414350.8748384299677
12.76824,414903.8551906900237
12.780296,415455.7922602099117
12.792352,416006.6889966799632
12.804408,416556.548338669933
12.816464,417105.3732137000177
12.82852,417653.1665383100032
12.840576,418199.9312180399415
12.852632,418745.6701475599532
12.864688,419290.3862106900187
12.876744,419834.0822804300107
12.8888,420376.761219040024
12.900856,420918.4258780999795
12.912912,421459.0790984999607
12.924968,421998.7237105700177
12.937024,422537.3625340699207
12.94908,423074.9983782599437
12.961136,423611.6340419499892
12.973192,424147.272313549997
12.985248,424681.9159711099915
12.997304,425215.5677823600115
13.00936,425748.2305048099942
13.021416,426279.90688569995
13.033472,426810.5996621599177
13.045528,427340.3115611699162
13.057584,427869.0452996499362
13.06964,428396.8035844899705
13.081696,428923.5891125999612
13.093752,429449.404570969985
13.105808,429974.252636689925
13.117864,430498.1359770200205
13.12992,431021.0572493999487
13.141976,431543.019101539975
13.154032,432064.0241714499415
13.166088,432584.0750874499782
13.178144,433103.1744682699195
13.1902,433621.3249230500065
13.202256,434138.5290514000217
13.214312,434654.7894434499305
13.226368,435170.1086798700255
13.238424,435684.4893319599787
13.25048,436197.9339616399942
13.262536,436710.4451215099532
13.274592,437222.0253548999305
13.286648,437732.6771959299217
13.298704,438242.4031695099537
13.31076,438751.2057913999295
13.322816,439259.087568269925
13.334872,439766.0509977099707
13.346928,440272.098568300017
13.358984,440777.2327596199452
13.37104,441281.4560423099892
13.383096,441784.7708781299867
13.395152,442287.179719949955
13.407208,442788.6850118199352
13.419264,443289.2891890299492
13.43132,443788.994678109999
13.443376,444287.8038968800087
13.455432,444785.7192544999987
13.467488,445282.743151510017
13.479544,445778.8779798499295
13.4916,446274.126122919958
13.503656,446768.4899556100125
13.515712,447261.9718443199515
13.527768,447754.5741470400237
13.539824,448246.2992133399227
13.55188,448737.149384439922
13.563936,449227.1269932299607
13.575992,449716.234364309929
13.588048,450204.4738140499675
13.600104,450691.8476505799905
13.61216,451178.3581738700145
13.624216,451664.0076757399352
13.636272,452148.7984399299587
13.648328,452632.732742059975
13.660384,453115.8128497699492
13.67244,453598.0410226699882
13.684496,454079.41951241996
13.696552,454559.9505627399767
13.708608,455039.6364094699952
13.720664,455518.4792805899615
13.73272,455996.4813962599717
13.744776,456473.6449688199195
13.756832,456949.9722028999812
13.768888,457425.4652953799802
13.780944,457900.1264354599395
13.793,458373.9578046799852
13.805056,458846.9615769799555
13.817112,459319.1399186699405
13.829168,459790.494988559977
13.841224,460261.0289378999725
13.85328,460730.7439104699282
13.865336,461199.6420425699315
13.877392,461667.7254631100215
13.889448,462134.9962935899375
13.901504,462601.4566481399805
13.91356,463067.1086335899295
13.925616,463531.9543494499505
13.937672,463995.99588797998
13.949728,464459.2353341899565
13.961784,464921.6747659199155
13.97384,465383.316253799944
13.985896,465844.1618613499435
13.997952,466304.213644969974
14.010008,466763.4736539799475
14.022064,467221.9439306500125
14.03412,467679.6265102499155
14.046176,468136.52342103992
14.058232,468592.636684329946
14.070288,469047.968314509954
14.082344,469502.5203190599555
14.0944,469956.2946985999575
14.106456,470409.293446919996
14.118512,470861.518550959996
14.130568,471312.9719909299155
14.142624,471763.6557402599125
14.15468,472213.5717656599575
14.166736,472662.7220271499815
14.178792,473111.1084780700025
14.190848,473558.733065139967
14.202904,474005.5977284599775
14.21496,474451.70440156001
14.227016,474897.0550114000205
14.239072,475341.651478409999
14.251128,475785.4957165499205
14.263184,476228.589633279945
14.27524,476670.935129639924
14.287296,477112.534100219955
14.330944,476070.801755980005
14.343,476511.1901275899715
14.355056,476950.83878460992
14.367112,477389.749589200014
14.379168,477827.924397289985
14.391224,478265.365058589958
14.40328,478702.073416610014
14.415336,479138.0513086899865
14.427392,479573.3005660299665
14.439448,480007.823013729996
14.451504,480441.620470779947
14.46356,480874.6947501199305
14.475616,481307.0476586299475
14.487672,481738.680997199959
14.499728,482169.596560709992
14.537216,481386.8074877599705
14.555432,481612.637811089981
14.567488,482041.653303580008
14.579544,482469.959279929985
14.5916,482897.55749883002
14.603656,483324.4497131400265
14.615712,483750.63766993
14.627768,484176.1231105099425
14.639824,484600.9077704799115
14.65188,485024.993379689985
14.663936,485448.3816623300065
14.675992,485871.0743369199325
14.688048,486293.0731163199515
14.700104,486714.379707789978
14.71216,487134.9958129900035
14.744288,486891.1947460599455
14.767864,486930.2696720400115
14.77992,487348.781319519969
14.791976,487766.610762479946
14.804032,488183.7596676399685
14.816088,488600.229696259949
14.828144,489016.0225042299115
14.8402,489431.139742049969
14.852256,489845.5830548600045
14.864312,490259.35408244992
14.876368,490672.4544593099255
14.888424,491084.885814639971
14.90048,491496.649772359988
14.912536,491907.7479511200205
14.924592,492318.181964369955
14.936648,492727.9534203399655
14.95672,492872.768895849933
14.980296,492901.8759041900035
14.992352,493309.6554830099905
15.004408,493716.7797623199865
15.016464,494123.250320449936
15.02852,494529.0687306500025
15.040576,494934.23656114994
15.052632,495338.755375139996
15.064688,495742.6267308000225
15.076744,496145.852181349996
15.0888,496548.4332750099695
15.100856,496950.3715550999605
15.112912,497351.668559969984
15.124968,497752.325823099933
15.137024,498152.3448730700175
15.14908,498551.7272335999865
15.161136,498950.4744235499515
15.173192,499348.587956969974
15.192728,499500.0239588299285
15.204784,499896.874562639975
15.21684,500293.0963327499325
15.228896,500688.690762609941
15.240952,501083.659340969984
15.253008,501478.0035518199425
15.265064,501871.724874519975
15.27712,502264.8247837299705
15.289176,502657.304749449946
15.301232,503049.166237069991
15.313288,503440.4107073500045
15.325344,503831.0396164699905
15.3374,504221.054416000027
15.349456,504610.4565529900125
15.361512,504999.2474699099535
15.373568,505387.428604729938
15.385624,505775.0013909100075
15.39768,506161.9672574099365
15.409736,506548.3276287099565
15.421792,506934.0839248800175
15.433848,507319.2375614899195
15.445904,507703.789949749944
15.45796,508087.7424964199295
15.470016,508471.0966039099715
15.482072,508853.8536702300175
15.494128,509236.015089069957
15.506184,509617.58224976994
15.51824,509998.556537339928
15.530296,510378.939332520006
15.542352,510758.732011729967
15.554408,511137.935947160002
15.566464,511516.5525067199475
15.57852,511894.5830540999295
15.590576,512272.0289487700195
15.602632,512648.8915459900145
15.614688,513025.172196839935
15.626744,513400.87224823993
15.6388,513775.9930429399235
15.650856,514150.535919570013
15.662912,514524.502212619989
15.674968,514897.893252479959
15.687024,515270.71036546002
15.69908,515642.954873789915
15.711136,516014.6280956399845
15.723192,516385.731345140024
15.735248,516756.265932379988
15.747304,517126.2331634699355
15.75936,517495.634340479969
15.771416,517864.470761529983
15.783472,518232.743720769997
15.795528,518600.4545083899265
15.807584,518967.604410639963
15.81964,519334.194709869915
15.831696,519700.2266844899845
15.843752,520065.701609059934
15.855808,520430.620754239963
15.867864,520794.9853868199265
15.87992,521158.7967697599655
15.891976,521522.0561621799125
15.904032,521884.764819390022
15.916088,522246.9239928799205
15.928144,522608.5349303699315
15.9402,522969.598875799913
15.952256,523330.117069329948
15.964312,523690.090747409965
15.976368,524049.5211427300225
15.988424,524408.4094842600155
16.00048,524766.756997289833
16.012536,525124.564903399906
16.024592,525481.834420499856
16.036648,525838.5667628298965
16.048704,526194.763140999944
16.06076,526550.424761969828
16.072816,526905.5528290700155
16.084872,527260.1485420600505
16.096928,527614.2130970598655
16.108984,527967.747686629881
16.12104,528320.7534997698375
16.133096,528673.23172191996
16.145152,529025.1835349700395
16.157208,529376.6101172899345
16.169264,529727.5126437400455
16.18132,530077.8922856699195
16.193376,530427.750210949917
16.205432,530777.087583970044
16.217488,531125.9055656499685
16.229544,531474.20531346998
16.2416,531821.987981479846
16.253656,532169.254720289957
16.265712,532417.1484162500115
16.476912,525615.479405359829
