"rxPkOk:vector(packetBytes) Exercise4.server.ppp[0].ppp ($timelimit=20, $ber=1e-7, #0 - Original_Task-0-20200525-23:44:05-11564)",
1.20044,55
1.601256,47
1.613312,1507
2.025744,1507
2.0378,1507
2.438176,1507
2.450232,1507
2.462288,1507
2.474344,1507
2.850608,1507
2.862664,1507
2.87472,1507
2.886776,1507
2.898832,1507
2.910888,1507
2.922944,1507
2.935,1507
3.26304,1507
3.275096,1507
3.287152,1507
3.299208,1507
3.311264,1507
3.32332,1507
3.335376,1507
3.347432,1507
3.359488,1507
3.371544,1507
3.3836,1507
3.395656,1507
3.407712,1507
3.419768,1507
3.431824,1507
3.44388,1507
3.675472,1507
3.687528,1507
3.699584,1507
3.71164,1507
3.723696,1507
3.735752,1507
3.747808,1507
3.759864,1507
3.77192,1507
3.783976,1507
3.796032,1507
3.808088,1507
3.820144,1507
3.8322,1507
3.844256,1507
3.856312,1507
3.868368,1507
3.880424,1507
3.89248,1507
3.904536,1507
3.916592,1507
3.928648,1507
3.940704,1507
3.95276,1507
3.964816,1507
3.976872,1507
4.087904,1507
4.09996,1507
4.112016,1507
4.124072,1507
4.136128,1507
4.148184,1507
4.16024,1507
4.172296,1507
4.184352,1507
4.196408,1507
4.208464,1507
4.22052,1507
4.232576,1507
4.244632,1507
4.256688,1507
4.268744,1507
4.2808,1507
4.292856,1507
4.304912,1507
4.316968,1507
4.329024,1507
4.34108,1507
4.353136,1507
4.365192,1507
4.377248,1507
4.389304,1507
4.40136,1507
4.413416,1507
4.425472,1507
4.437528,1507
4.449584,1507
4.46164,1507
4.747672,777
4.765568,1507
4.777624,1507
4.78968,1507
4.801736,1507
4.813792,1507
4.825848,1507
4.837904,1507
4.84996,1507
4.862016,1507
4.874072,1507
4.886128,1507
5.202112,1507
5.214168,1507
5.226224,1507
5.23828,1507
5.250336,1507
5.262392,1507
5.274448,1507
5.286504,1507
5.29856,1507
5.638656,1507
5.650712,1507
5.662768,1507
5.674824,1507
5.68688,1507
5.698936,1507
5.710992,1507
6.0752,1507
6.087256,1507
6.099312,1507
6.111368,1507
6.123424,1507
6.511744,1507
6.5238,1507
6.535856,1507
6.936232,1507
6.948288,1507
7.348664,1507
7.36072,1507
7.761096,1507
7.773152,1507
8.173528,1507
8.185584,1507
8.58596,1507
8.598016,1507
8.998392,1507
9.010448,1507
9.410824,1507
9.42288,1507
9.823256,1507
9.835312,1507
10.235688,1507
10.247744,1507
10.64812,1507
10.660176,1507
11.060552,1507
11.072608,1507
11.472984,1507
11.48504,1507
11.497096,1507
11.885416,1507
11.897472,1507
11.909528,1507
11.921584,1507
11.93364,1507
11.945696,1507
12.297848,1507
12.309904,1507
12.32196,1507
12.334016,1507
12.346072,1507
12.358128,1507
12.370184,1507
12.38224,1507
12.394296,1507
12.406352,1507
12.418408,1507
12.430464,1507
12.71028,1507
12.722336,1507
12.734392,1507
12.746448,1507
12.758504,1507
12.77056,1507
12.782616,1507
12.794672,1507
12.806728,1507
12.818784,1507
12.83084,1507
12.842896,1507
12.854952,1507
12.867008,1507
12.879064,1507
12.89112,1507
12.903176,1507
12.915232,1507
12.927288,1507
12.939344,1507
12.9514,1507
12.963456,1507
13.122712,1507
13.134768,1507
13.146824,1507
13.15888,1507
13.170936,1507
13.182992,1507
13.195048,1507
13.207104,1507
13.21916,1507
13.231216,1507
13.243272,1507
13.255328,1507
13.267384,1507
13.27944,1507
13.291496,1507
13.303552,1507
13.315608,1507
13.327664,1507
13.33972,1507
13.351776,1507
13.363832,1507
13.375888,1507
13.387944,1507
13.4,1507
13.5472,1507
13.677792,1254
13.691872,1507
13.703928,1507
13.715984,1507
13.72804,1507
13.740096,1507
13.752152,1507
13.764208,1507
13.78832,1507
13.800376,1507
13.812432,1507
13.959632,1507
13.971688,1507
14.128416,1507
14.140472,1507
14.152528,1507
14.164584,1507
14.17664,1507
14.200752,1507
14.212808,1507
14.224864,1507
14.37004,1254
14.552904,1507
14.602512,173
14.62524,1507
14.637296,1507
14.782472,1507
14.965336,1507
15.014944,1507
15.037672,1507
15.049728,1507
15.061784,1507
15.07384,1507
15.194904,1507
15.377768,1507
15.427376,1507
15.450104,1507
15.46216,1507
15.474216,1507
15.486272,1507
15.498328,1507
15.607336,1507
15.7902,1507
15.839808,1507
15.862536,1507
15.874592,1507
15.886648,1507
15.898704,1507
15.91076,1507
16.019768,1507
16.031824,1507
16.202632,1507
16.25224,1507
16.274968,1507
16.287024,1507
16.29908,1507
16.311136,1507
16.323192,1507
16.4322,1507
16.444256,1507
16.456312,1507
16.615064,1507
16.664672,1507
16.6874,1507
16.699456,1507
16.711512,1507
16.723568,1507
16.735624,1507
16.844632,1507
16.856688,1507
16.868744,1507
17.027496,1507
17.039552,1507
17.077104,1507
17.099832,1507
17.111888,1507
17.123944,1507
17.136,1507
17.148056,1507
17.257064,1507
17.26912,1507
17.281176,1507
17.439928,1507
17.451984,1507
17.46404,1507
17.489536,1507
17.512264,1507
17.52432,1507
17.536376,1507
17.548432,1507
17.560488,1507
17.669496,1507
17.681552,1507
17.693608,1507
17.85236,1507
17.864416,1507
17.876472,1507
17.901968,1507
17.914024,1507
17.92608,1507
17.938136,1507
17.950192,1507
17.962248,1507
17.974304,1507
18.081928,1507
18.093984,1507
18.10604,1507
18.264792,1507
18.276848,1507
18.288904,1507
18.3144,1507
18.326456,1507
18.338512,1507
18.350568,1507
18.362624,1507
18.37468,1507
18.386736,1507
18.398792,1507
18.49436,1507
18.506416,1507
18.518472,1507
18.677224,1507
18.68928,1507
18.701336,1507
18.726832,1507
18.738888,1507
18.750944,1507
18.763,1507
18.775056,1507
18.787112,1507
18.799168,1507
18.811224,1507
18.82328,1507
18.906792,1507
18.918848,1507
18.930904,1507
19.089656,1507
19.101712,1507
19.113768,1507
19.139264,1507
19.15132,1507
19.163376,1507
19.175432,1507
19.187488,1507
19.199544,1507
19.2116,1507
19.223656,1507
19.235712,1507
19.247768,1507
19.319224,1507
19.33128,1507
19.343336,1507
19.502088,1507
19.514144,1507
19.5262,1507
19.551696,1507
19.563752,1507
19.575808,1507
19.587864,1507
19.59992,1507
19.611976,1507
19.624032,1507
19.636088,1507
19.648144,1507
19.6602,1507
19.672256,1507
19.731656,1507
19.743712,1507
19.755768,1507
19.91452,1507
19.926576,1507
19.938632,1507
19.964128,1507
19.976184,1507
19.98824,1507
