run,ber,timelimit,repetition,Module,throughput:last
Thirty_Runs-9-20200610-17:32:19-43153,1e-7,10,9,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-22-20200610-17:32:20-43158,1e-7,10,22,Exercise6.client.pppg$o[0].channel,345403.50865869
Thirty_Runs-19-20200610-17:32:20-43155,1e-7,10,19,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-27-20200610-17:32:20-43157,1e-7,10,27,Exercise6.client.pppg$o[0].channel,343015.11593956
Thirty_Runs-8-20200610-17:32:19-43153,1e-7,10,8,Exercise6.client.pppg$o[0].channel,173616.91302819
Thirty_Runs-10-20200610-17:32:19-43153,1e-7,10,10,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-7-20200610-17:32:19-43151,1e-7,10,7,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-0-20200610-17:32:19-43152,1e-7,10,0,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-29-20200610-17:32:20-43156,1e-7,10,29,Exercise6.client.pppg$o[0].channel,379367.9692304
Thirty_Runs-28-20200610-17:32:20-43156,1e-7,10,28,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-18-20200610-17:32:20-43155,1e-7,10,18,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-11-20200610-17:32:19-43153,1e-7,10,11,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-12-20200610-17:32:19-43154,1e-7,10,12,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-25-20200610-17:32:20-43157,1e-7,10,25,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-21-20200610-17:32:20-43158,1e-7,10,21,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-6-20200610-17:32:19-43151,1e-7,10,6,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-13-20200610-17:32:19-43154,1e-7,10,13,Exercise6.client.pppg$o[0].channel,300912.0437781
Thirty_Runs-26-20200610-17:32:20-43157,1e-7,10,26,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-20-20200610-17:32:20-43158,1e-7,10,20,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-5-20200610-17:32:19-43151,1e-7,10,5,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-4-20200610-17:32:19-43151,1e-7,10,4,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-1-20200610-17:32:19-43152,1e-7,10,1,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-17-20200610-17:32:20-43155,1e-7,10,17,Exercise6.client.pppg$o[0].channel,363532.1469686
Thirty_Runs-14-20200610-17:32:19-43154,1e-7,10,14,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-23-20200610-17:32:20-43158,1e-7,10,23,Exercise6.client.pppg$o[0].channel,347932.70076964
Thirty_Runs-24-20200610-17:32:20-43157,1e-7,10,24,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-2-20200610-17:32:19-43152,1e-7,10,2,Exercise6.client.pppg$o[0].channel,226549.20436232
Thirty_Runs-3-20200610-17:32:19-43152,1e-7,10,3,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-16-20200610-17:32:20-43155,1e-7,10,16,Exercise6.client.pppg$o[0].channel,176122.50988647
Thirty_Runs-15-20200610-17:32:19-43154,1e-7,10,15,Exercise6.client.pppg$o[0].channel,174869.71145733
Thirty_Runs-51-20200610-17:32:28-43163,1e-7,100,21,Exercise6.client.pppg$o[0].channel,661902.13092849
Thirty_Runs-56-20200610-17:32:25-43165,1e-7,100,26,Exercise6.client.pppg$o[0].channel,677302.67544762
Thirty_Runs-43-20200610-17:32:24-43160,1e-7,100,13,Exercise6.client.pppg$o[0].channel,642912.58107153
Thirty_Runs-30-20200610-17:32:20-43156,1e-7,100,0,Exercise6.client.pppg$o[0].channel,715966.38063812
Thirty_Runs-52-20200610-17:32:25-43164,1e-7,100,22,Exercise6.client.pppg$o[0].channel,677058.89167521
Thirty_Runs-55-20200610-17:32:28-43164,1e-7,100,25,Exercise6.client.pppg$o[0].channel,660616.90634787
Thirty_Runs-48-20200610-17:32:25-43163,1e-7,100,18,Exercise6.client.pppg$o[0].channel,667039.6890838
Thirty_Runs-33-20200610-17:32:22-43159,1e-7,100,3,Exercise6.client.pppg$o[0].channel,659978.370162
Thirty_Runs-50-20200610-17:32:27-43163,1e-7,100,20,Exercise6.client.pppg$o[0].channel,762283.05247575
Thirty_Runs-42-20200610-17:32:23-43160,1e-7,100,12,Exercise6.client.pppg$o[0].channel,703792.82079921
Thirty_Runs-34-20200610-17:32:23-43159,1e-7,100,4,Exercise6.client.pppg$o[0].channel,688369.87228966
Thirty_Runs-46-20200610-17:32:24-43162,1e-7,100,16,Exercise6.client.pppg$o[0].channel,664111.86449329
Thirty_Runs-45-20200610-17:32:23-43162,1e-7,100,15,Exercise6.client.pppg$o[0].channel,592895.62201472
Thirty_Runs-36-20200610-17:32:21-43161,1e-7,100,6,Exercise6.client.pppg$o[0].channel,691193.94816201
Thirty_Runs-35-20200610-17:32:23-43159,1e-7,100,5,Exercise6.client.pppg$o[0].channel,668153.92401075
Thirty_Runs-39-20200610-17:32:24-43161,1e-7,100,9,Exercise6.client.pppg$o[0].channel,772091.01228558
Thirty_Runs-32-20200610-17:32:21-43159,1e-7,100,2,Exercise6.client.pppg$o[0].channel,716322.63630598
Thirty_Runs-49-20200610-17:32:26-43163,1e-7,100,19,Exercise6.client.pppg$o[0].channel,710518.36833013
Thirty_Runs-58-20200610-17:32:27-43165,1e-7,100,28,Exercise6.client.pppg$o[0].channel,656014.07244118
Thirty_Runs-31-20200610-17:32:21-43156,1e-7,100,1,Exercise6.client.pppg$o[0].channel,682610.15772885
Thirty_Runs-57-20200610-17:32:26-43165,1e-7,100,27,Exercise6.client.pppg$o[0].channel,659806.3820839
Thirty_Runs-47-20200610-17:32:25-43162,1e-7,100,17,Exercise6.client.pppg$o[0].channel,657999.12783705
Thirty_Runs-59-20200610-17:32:28-43165,1e-7,100,29,Exercise6.client.pppg$o[0].channel,722653.43384149
Thirty_Runs-54-20200610-17:32:27-43164,1e-7,100,24,Exercise6.client.pppg$o[0].channel,762815.14455659
Thirty_Runs-41-20200610-17:32:22-43160,1e-7,100,11,Exercise6.client.pppg$o[0].channel,746564.1955808
Thirty_Runs-37-20200610-17:32:22-43161,1e-7,100,7,Exercise6.client.pppg$o[0].channel,666185.05572447
Thirty_Runs-40-20200610-17:32:21-43160,1e-7,100,10,Exercise6.client.pppg$o[0].channel,712230.43972907
Thirty_Runs-38-20200610-17:32:23-43161,1e-7,100,8,Exercise6.client.pppg$o[0].channel,729717.88216055
Thirty_Runs-44-20200610-17:32:23-43162,1e-7,100,14,Exercise6.client.pppg$o[0].channel,744792.85613754
Thirty_Runs-53-20200610-17:32:26-43164,1e-7,100,23,Exercise6.client.pppg$o[0].channel,714789.68208344
Thirty_Runs-89-20200610-17:33:35-43173,1e-7,1000,29,Exercise6.client.pppg$o[0].channel,798142.20686533
Thirty_Runs-80-20200610-17:33:10-43171,1e-7,1000,20,Exercise6.client.pppg$o[0].channel,762715.91243557
Thirty_Runs-76-20200610-17:33:08-43170,1e-7,1000,16,Exercise6.client.pppg$o[0].channel,783467.46787441
Thirty_Runs-66-20200610-17:32:49-43167,1e-7,1000,6,Exercise6.client.pppg$o[0].channel,769921.49849663
Thirty_Runs-84-20200610-17:33:12-43172,1e-7,1000,24,Exercise6.client.pppg$o[0].channel,777040.42892632
Thirty_Runs-81-20200610-17:33:22-43171,1e-7,1000,21,Exercise6.client.pppg$o[0].channel,772491.75149124
Thirty_Runs-77-20200610-17:33:19-43170,1e-7,1000,17,Exercise6.client.pppg$o[0].channel,763240.80793989
Thirty_Runs-62-20200610-17:32:46-43166,1e-7,1000,2,Exercise6.client.pppg$o[0].channel,803735.56513505
Thirty_Runs-65-20200610-17:32:39-43167,1e-7,1000,5,Exercise6.client.pppg$o[0].channel,778574.9210683
Thirty_Runs-85-20200610-17:33:24-43172,1e-7,1000,25,Exercise6.client.pppg$o[0].channel,772713.16897729
Thirty_Runs-71-20200610-17:33:01-43168,1e-7,1000,11,Exercise6.client.pppg$o[0].channel,771555.29855281
Thirty_Runs-83-20200610-17:33:44-43171,1e-7,1000,23,Exercise6.client.pppg$o[0].channel,791405.18477709
Thirty_Runs-87-20200610-17:33:12-43173,1e-7,1000,27,Exercise6.client.pppg$o[0].channel,758782.98977442
Thirty_Runs-60-20200610-17:32:26-43166,1e-7,1000,0,Exercise6.client.pppg$o[0].channel,770528.43161559
Thirty_Runs-67-20200610-17:32:59-43167,1e-7,1000,7,Exercise6.client.pppg$o[0].channel,759427.70128326
Thirty_Runs-70-20200610-17:32:50-43168,1e-7,1000,10,Exercise6.client.pppg$o[0].channel,794656.84314255
Thirty_Runs-78-20200610-17:33:31-43170,1e-7,1000,18,Exercise6.client.pppg$o[0].channel,762493.78264332
Thirty_Runs-75-20200610-17:33:00-43169,1e-7,1000,15,Exercise6.client.pppg$o[0].channel,784624.90500084
Thirty_Runs-61-20200610-17:32:36-43166,1e-7,1000,1,Exercise6.client.pppg$o[0].channel,759773.73179837
Thirty_Runs-64-20200610-17:32:29-43167,1e-7,1000,4,Exercise6.client.pppg$o[0].channel,769494.53902565
Thirty_Runs-73-20200610-17:32:39-43169,1e-7,1000,13,Exercise6.client.pppg$o[0].channel,813821.52084577
Thirty_Runs-72-20200610-17:32:29-43169,1e-7,1000,12,Exercise6.client.pppg$o[0].channel,782423.11916034
Thirty_Runs-68-20200610-17:32:29-43168,1e-7,1000,8,Exercise6.client.pppg$o[0].channel,788219.64627532
Thirty_Runs-63-20200610-17:32:57-43166,1e-7,1000,3,Exercise6.client.pppg$o[0].channel,761183.224
Thirty_Runs-86-20200610-17:33:35-43172,1e-7,1000,26,Exercise6.client.pppg$o[0].channel,758752.08497509
Thirty_Runs-79-20200610-17:33:42-43170,1e-7,1000,19,Exercise6.client.pppg$o[0].channel,802498.31692375
Thirty_Runs-74-20200610-17:32:50-43169,1e-7,1000,14,Exercise6.client.pppg$o[0].channel,744600.11710683
Thirty_Runs-88-20200610-17:33:24-43173,1e-7,1000,28,Exercise6.client.pppg$o[0].channel,786033.11912225
Thirty_Runs-69-20200610-17:32:39-43168,1e-7,1000,9,Exercise6.client.pppg$o[0].channel,774126.66414174
Thirty_Runs-82-20200610-17:33:33-43171,1e-7,1000,22,Exercise6.client.pppg$o[0].channel,779509.87773672
